rank_brand,brand,num_products,total_ratings,brand_weighted_score,simple_mean_product_rating
3826,AGOOL,8,3936.0,4.357247837577894,4.4875
3827,Blanc,1,150.0,4.357221865897005,4.4
3828,Puzzled,4,127.0,4.357098736662938,4.15
3829,Bellacharms,3,352.0,4.357057791536563,4.133333333333334
3830,MEGACHIC,2,298.0,4.3569828819076015,4.4
3831,Handrong,2,117.0,4.356969379364996,4.4
3832,Jinxiuge,1,148.0,4.356741212704836,4.4
3833,Round Rich,2,296.0,4.356741212704836,4.4
3834,OOTSR,1,148.0,4.356741212704836,4.4
3835,Comriou,1,148.0,4.356741212704836,4.4
3836,Toomwvvy,8,379.0,4.356705665215049,4.55
3837,Giantex,58,21991.0,4.35669211295499,4.3293103448275865
3838,BISAER,18,2060.0,4.35657255598173,4.300000000000001
3839,HYHONEY,6,679.0,4.356568421256748,4.216666666666667
3840,City Oak,1,147.0,4.356496812776615,4.4
3841,Tatuo,13,2818.0,4.356312170918875,4.338461538461539
3842,NUOGIC,1,146.0,4.356249635576482,4.4
3843,CASDAN,42,4665.0,4.356222172786835,4.338095238095238
3844,SockitBoX,2,54.0,4.356215630025726,4.4
3845,Fosinz,5,258.0,4.356116724943496,4.34
3846,KLENBLU,2,1750.0,4.35610932254478,4.449999999999999
3847,Wagoal,2,290.0,4.355999633494062,4.4
3848,FRUMOS,1,145.0,4.355999633494062,4.4
3849,COLIBROX,1,145.0,4.355999633494062,4.4
3850,SYGUNAR,5,69.0,4.355967872774608,4.8
3851,FairDeco,2,426.0,4.35588784293636,4.4
3852,Szzkxrs,2,162.0,4.355860710869753,4.45
3853,Sooyee,12,22508.0,4.3558402615910365,4.341666666666667
3854,Xflyee,6,264.0,4.355809916195298,4.5
3855,Rustenhof,6,1380.0,4.355807471995298,3.9333333333333336
3856,Ooreedo,5,172.0,4.355772427634208,4.54
3857,Fantastic Boom,1,144.0,4.3557467578244875,4.4
3858,Color and Cool,2,70.0,4.35571533043204,4.550000000000001
3859,NUOBESTY,9,692.0,4.355688033763602,3.3111111111111113
